No,X1 transaction date,X2 house age,X3 bus station,X4 number of stores,X5 latitude,X6 longitude,Y price sq feet
1,2012.917,32,84.87882,10,24.98298,121.54024,92.1
2,2012.917,19.5,306.5947,9,24.98034,121.53951,82.4
3,2013.583,13.3,561.9845,5,24.98746,121.54391,93.6
4,2013.5,13.3,561.9845,5,24.98746,121.54391,97.3
5,2012.833,5,390.5684,5,24.97937,121.54245,99.9
6,2012.667,7.1,2175.03,3,24.96305,121.51254,108.3
7,2012.667,34.5,623.4731,7,24.97933,121.53642,88.1
8,2013.417,20.3,287.6025,6,24.98042,121.54228,97.5
9,2013.5,31.7,5512.038,1,24.95095,121.48458,78.6
10,2013.417,17.9,1783.18,3,24.96731,121.51486,90.3
11,2013.083,34.8,405.2134,1,24.97349,121.53372,77.4
12,2013.333,6.3,90.45606,9,24.97433,121.5431,110.3
13,2012.917,13,492.2313,5,24.96515,121.53737,95.8
14,2012.667,20.4,2469.645,4,24.96108,121.51046,98.6
15,2013.5,13.2,1164.838,4,24.99156,121.53406,103.8
16,2013.583,35.7,579.2083,2,24.9824,121.54619,81.4
17,2013.25,0,292.9978,6,24.97744,121.54458,111.6
18,2012.75,17.7,350.8515,1,24.97544,121.53119,110.4
19,2013.417,16.9,368.1363,8,24.9675,121.54451,108.4
20,2012.667,1.5,23.38284,7,24.96772,121.54102,108.3
21,2013.417,4.5,2275.877,3,24.96314,121.51151,122.7
22,2013.417,10.5,279.1726,7,24.97528,121.54541,108.6
23,2012.917,14.7,1360.139,1,24.95204,121.54842,107.1
24,2013.083,10.1,279.1726,7,24.97528,121.54541,102
25,2013,39.6,480.6977,4,24.97353,121.53885,80.1
26,2013.083,29.3,1487.868,2,24.97542,121.51726,88.7
27,2012.667,3.1,383.8624,5,24.98085,121.54391,104.7
28,2013.25,10.4,276.449,5,24.95593,121.53913,95.3
29,2013.5,19.2,557.478,4,24.97419,121.53797,88.5
30,2013.083,7.1,451.2438,5,24.97563,121.54694,116
31,2013.5,25.9,4519.69,0,24.94826,121.49587,98.1
32,2012.75,29.6,769.4034,7,24.98281,121.53408,83.1
33,2012.75,37.9,488.5727,1,24.97349,121.53451,73.7
34,2013.25,16.5,323.655,6,24.97841,121.54281,95.5
35,2012.75,15.4,205.367,7,24.98419,121.54243,99.4
36,2013.5,13.9,4079.418,0,25.01459,121.51816,93.4
37,2012.917,14.7,1935.009,2,24.96386,121.51458,103.1
38,2013.167,12,1360.139,1,24.95204,121.54842,104.5
39,2012.667,3.1,577.9615,6,24.97201,121.54722,100.8
40,2013.167,16.2,289.3248,5,24.98203,121.54348,109.9
